symbol,name
HEXA.JK,Hexindo Adiperkasa Tbk.
HITS.JK,Humpuss Intermoda Transportasi
HMSP.JK,H.M. Sampoerna Tbk.
HOME.JK,Hotel Mandarine Regency Tbk.
HOTL.JK,Saraswati Griya Lestari Tbk.
HRUM.JK,Harum Energy Tbk.
IATA.JK,MNC Energy Investments Tbk.
IBFN.JK,Intan Baru Prana Tbk.
IBST.JK,Inti Bangun Sejahtera Tbk.
ICBP.JK,Indofood CBP Sukses Makmur Tbk
ICON.JK,Island Concepts Indonesia Tbk.
IGAR.JK,Champion Pacific Indonesia Tbk
IIKP.JK,Inti Agri Resources Tbk
IKAI.JK,Intikeramik Alamasri Industri 
IKBI.JK,Sumi Indo Kabel Tbk.
IMAS.JK,Indomobil Sukses Internasional
IMJS.JK,Indomobil Multi Jasa Tbk.
IMPC.JK,Impack Pratama Industri Tbk.
INAF.JK,Indofarma Tbk.
INAI.JK,Indal Aluminium Industry Tbk.
INCI.JK,Intanwijaya Internasional Tbk
INCO.JK,Vale Indonesia Tbk.
INDF.JK,Indofood Sukses Makmur Tbk.
INDR.JK,Indo-Rama Synthetics Tbk.
INDS.JK,Indospring Tbk.
INDX.JK,Tanah Laut Tbk
INDY.JK,Indika Energy Tbk.
INKP.JK,Indah Kiat Pulp & Paper Tbk.
INPC.JK,Bank Artha Graha Internasional
INPP.JK,Indonesian Paradise Property T
INRU.JK,Toba Pulp Lestari Tbk.
INTA.JK,Intraco Penta Tbk.
INTD.JK,Inter Delta Tbk
INTP.JK,Indocement Tunggal Prakarsa Tb
IPOL.JK,Indopoly Swakarsa Industry Tbk
ISAT.JK,Indosat Tbk.
ISSP.JK,Steel Pipe Industry of Indones
ITMA.JK,Sumber Energi Andalan Tbk.
ITMG.JK,Indo Tambangraya Megah Tbk.
JAWA.JK,Jaya Agra Wattie Tbk.
JECC.JK,Jembo Cable Company Tbk.
JIHD.JK,Jakarta International Hotels &
JKON.JK,Jaya Konstruksi Manggala Prata
JPFA.JK,Japfa Comfeed Indonesia Tbk.
JRPT.JK,Jaya Real Property Tbk.
JSMR.JK,Jasa Marga (Persero) Tbk.
JSPT.JK,Jakarta Setiabudi Internasiona
JTPE.JK,Jasuindo Tiga Perkasa Tbk.
KAEF.JK,Kimia Farma Tbk.
KARW.JK,Meratus Jasa Prima Tbk.
KBLI.JK,KMI Wire & Cable Tbk.
KBLM.JK,Kabelindo Murni Tbk.
KBLV.JK,First Media Tbk.
KBRI.JK,Kertas Basuki Rachmat Indonesi
KDSI.JK,Kedawung Setia Industrial Tbk.
KIAS.JK,Keramika Indonesia Assosiasi T
KICI.JK,Kedaung Indah Can Tbk
KIJA.JK,Kawasan Industri Jababeka Tbk.
KKGI.JK,Resource Alam Indonesia Tbk.
KLBF.JK,Kalbe Farma Tbk.
KOBX.JK,Kobexindo Tractors Tbk.
KOIN.JK,Kokoh Inti Arebama Tbk
KONI.JK,Perdana Bangun Pusaka Tbk
KOPI.JK,Mitra Energi Persada Tbk.
KPIG.JK,MNC Tourism Indonesia Tbk.
KRAS.JK,Krakatau Steel (Persero) Tbk.
KREN.JK,Quantum Clovera Investama Tbk.
LAPD.JK,Leyand International Tbk.
LCGP.JK,Eureka Prima Jakarta Tbk.
LEAD.JK,Logindo Samudramakmur Tbk.
LINK.JK,Link Net Tbk.
LION.JK,Lion Metal Works Tbk.
LMAS.JK,Limas Indonesia Makmur Tbk
LMPI.JK,Langgeng Makmur Industri Tbk.
LMSH.JK,Lionmesh Prima Tbk.
LPCK.JK,Lippo Cikarang Tbk
LPGI.JK,Lippo General Insurance Tbk.
LPIN.JK,Multi Prima Sejahtera Tbk
LPKR.JK,Lippo Karawaci Tbk.
LPLI.JK,Star Pacific Tbk
LPPF.JK,Matahari Department Store Tbk.
LPPS.JK,Lenox Pasifik Investama Tbk.
LRNA.JK,Eka Sari Lorena Transport Tbk.
LSIP.JK,PP London Sumatra Indonesia Tb
LTLS.JK,Lautan Luas Tbk.
MAGP.JK,Multi Agro Gemilang Plantation
MAIN.JK,Malindo Feedmill Tbk.
MAPI.JK,Mitra Adiperkasa Tbk.
MAYA.JK,Bank Mayapada Internasional Tb
MBAP.JK,Mitrabara Adiperdana Tbk.
MBSS.JK,Mitrabahtera Segara Sejati Tbk
MBTO.JK,Martina Berto Tbk.
MCOR.JK,Bank China Construction Bank I
MDIA.JK,Intermedia Capital Tbk.
MDKA.JK,Merdeka Copper Gold Tbk.
MDLN.JK,Modernland Realty Tbk.
MDRN.JK,Modern Internasional Tbk.
MEDC.JK,Medco Energi Internasional Tbk
MEGA.JK,Bank Mega Tbk.
MERK.JK,Merck Tbk.
META.JK,Nusantara Infrastructure Tbk.
MFMI.JK,Multifiling Mitra Indonesia Tb
MGNA.JK,Magna Investama Mandiri Tbk.
MICE.JK,Multi Indocitra Tbk.
MIDI.JK,Midi Utama Indonesia Tbk.
MIKA.JK,Mitra Keluarga Karyasehat Tbk.
MIRA.JK,Mitra International Resources 
MITI.JK,Mitra Investindo Tbk.
MKPI.JK,Metropolitan Kentjana Tbk.
MLBI.JK,Multi Bintang Indonesia Tbk.
MLIA.JK,Mulia Industrindo Tbk
MLPL.JK,Multipolar Tbk.
MLPT.JK,Multipolar Technology Tbk.
MMLP.JK,Mega Manunggal Property Tbk.
MNCN.JK,Media Nusantara Citra Tbk.
MPMX.JK,Mitra Pinasthika Mustika Tbk.
MPPA.JK,Matahari Putra Prima Tbk.
MRAT.JK,Mustika Ratu Tbk.
MREI.JK,Maskapai Reasuransi Indonesia 
MSKY.JK,MNC Sky Vision Tbk.
MTDL.JK,Metrodata Electronics Tbk.
MTFN.JK,Capitalinc Investment Tbk.
MTLA.JK,Metropolitan Land Tbk.
MTSM.JK,Metro Realty Tbk.
MYOH.JK,Samindo Resources Tbk.
MYOR.JK,Mayora Indah Tbk.
MYTX.JK,Asia Pacific Investama Tbk.
NELY.JK,Pelayaran Nelly Dwi Putri Tbk.
NIKL.JK,Pelat Timah Nusantara Tbk.
NIRO.JK,City Retail Developments Tbk.
NISP.JK,Bank OCBC NISP Tbk.
NOBU.JK,Bank Nationalnobu Tbk.
NRCA.JK,Nusa Raya Cipta Tbk.
OCAP.JK,Onix Capital Tbk.
OKAS.JK,Ancora Indonesia Resources Tbk
OMRE.JK,Indonesia Prima Property Tbk
PADI.JK,Minna Padi Investama Sekuritas
PALM.JK,Provident Investasi Bersama Tb
PANR.JK,Panorama Sentrawisata Tbk.
PANS.JK,Panin Sekuritas Tbk.
PBRX.JK,Pan Brothers Tbk.
PDES.JK,Destinasi Tirta Nusantara Tbk
PEGE.JK,Panca Global Kapital Tbk.
PGAS.JK,Perusahaan Gas Negara (Persero
PGLI.JK,Pembangunan Graha Lestari Inda
PICO.JK,Pelangi Indah Canindo Tbk
PJAA.JK,Pembangunan Jaya Ancol Tbk.
PKPK.JK,Paragon Karya Perkasa Tbk.
PLAS.JK,Polaris Investama Tbk
PLIN.JK,Plaza Indonesia Realty Tbk.
PNBN.JK,Bank Pan Indonesia Tbk
PNBS.JK,Bank Panin Dubai Syariah Tbk.
PNIN.JK,Paninvest Tbk.
PNLF.JK,Panin Financial Tbk.
PSAB.JK,J Resources Asia Pasifik Tbk.
PSDN.JK,Prasidha Aneka Niaga Tbk
PSKT.JK,Red Planet Indonesia Tbk.
PTBA.JK,Bukit Asam Tbk.
PTIS.JK,Indo Straits Tbk.
PTPP.JK,PP (Persero) Tbk.
